,tr,label
470,<http://example/Treatment/treatment235>,0
472,<http://example/Treatment/treatment236>,0
474,<http://example/Treatment/treatment237>,0
476,<http://example/Treatment/treatment238>,0
478,<http://example/Treatment/treatment239>,0
480,<http://example/Treatment/treatment240>,0
482,<http://example/Treatment/treatment241>,0
484,<http://example/Treatment/treatment242>,0
486,<http://example/Treatment/treatment243>,0
492,<http://example/Treatment/treatment246>,0
494,<http://example/Treatment/treatment247>,0
496,<http://example/Treatment/treatment248>,0
498,<http://example/Treatment/treatment249>,0
500,<http://example/Treatment/treatment250>,0
502,<http://example/Treatment/treatment251>,0
504,<http://example/Treatment/treatment252>,0
506,<http://example/Treatment/treatment253>,0
508,<http://example/Treatment/treatment254>,0
510,<http://example/Treatment/treatment255>,0
512,<http://example/Treatment/treatment256>,0
514,<http://example/Treatment/treatment257>,0
516,<http://example/Treatment/treatment258>,0
518,<http://example/Treatment/treatment259>,0
520,<http://example/Treatment/treatment260>,0
522,<http://example/Treatment/treatment261>,0
524,<http://example/Treatment/treatment262>,0
526,<http://example/Treatment/treatment263>,0
528,<http://example/Treatment/treatment264>,0
530,<http://example/Treatment/treatment265>,0
532,<http://example/Treatment/treatment266>,0
534,<http://example/Treatment/treatment267>,0
536,<http://example/Treatment/treatment268>,0
538,<http://example/Treatment/treatment269>,0
542,<http://example/Treatment/treatment271>,0
544,<http://example/Treatment/treatment272>,0
548,<http://example/Treatment/treatment274>,0
550,<http://example/Treatment/treatment275>,0
552,<http://example/Treatment/treatment276>,0
554,<http://example/Treatment/treatment277>,0
556,<http://example/Treatment/treatment278>,0
558,<http://example/Treatment/treatment279>,0
562,<http://example/Treatment/treatment281>,0
564,<http://example/Treatment/treatment282>,0
568,<http://example/Treatment/treatment284>,0
570,<http://example/Treatment/treatment285>,0
574,<http://example/Treatment/treatment287>,0
576,<http://example/Treatment/treatment288>,0
578,<http://example/Treatment/treatment289>,0
582,<http://example/Treatment/treatment291>,0
584,<http://example/Treatment/treatment292>,0
586,<http://example/Treatment/treatment293>,0
588,<http://example/Treatment/treatment294>,0
592,<http://example/Treatment/treatment296>,0
596,<http://example/Treatment/treatment298>,0
598,<http://example/Treatment/treatment299>,0
600,<http://example/Treatment/treatment300>,0
604,<http://example/Treatment/treatment302>,0
606,<http://example/Treatment/treatment303>,0
608,<http://example/Treatment/treatment304>,0
610,<http://example/Treatment/treatment305>,0
612,<http://example/Treatment/treatment306>,0
614,<http://example/Treatment/treatment307>,0
618,<http://example/Treatment/treatment309>,0
620,<http://example/Treatment/treatment310>,0
622,<http://example/Treatment/treatment311>,0
624,<http://example/Treatment/treatment312>,0
626,<http://example/Treatment/treatment313>,0
628,<http://example/Treatment/treatment314>,0
630,<http://example/Treatment/treatment315>,0
632,<http://example/Treatment/treatment316>,0
634,<http://example/Treatment/treatment317>,0
638,<http://example/Treatment/treatment319>,0
640,<http://example/Treatment/treatment320>,0
644,<http://example/Treatment/treatment322>,0
646,<http://example/Treatment/treatment323>,0
650,<http://example/Treatment/treatment325>,0
652,<http://example/Treatment/treatment326>,0
656,<http://example/Treatment/treatment328>,0
658,<http://example/Treatment/treatment329>,0
660,<http://example/Treatment/treatment330>,0
664,<http://example/Treatment/treatment332>,0
666,<http://example/Treatment/treatment333>,0
674,<http://example/Treatment/treatment337>,0
676,<http://example/Treatment/treatment338>,0
680,<http://example/Treatment/treatment340>,0
682,<http://example/Treatment/treatment341>,0
684,<http://example/Treatment/treatment342>,0
686,<http://example/Treatment/treatment343>,0
690,<http://example/Treatment/treatment345>,0
692,<http://example/Treatment/treatment346>,0
694,<http://example/Treatment/treatment347>,0
696,<http://example/Treatment/treatment348>,0
700,<http://example/Treatment/treatment350>,0
702,<http://example/Treatment/treatment351>,0
708,<http://example/Treatment/treatment354>,0
710,<http://example/Treatment/treatment355>,0
712,<http://example/Treatment/treatment356>,0
714,<http://example/Treatment/treatment357>,0
718,<http://example/Treatment/treatment359>,0
720,<http://example/Treatment/treatment360>,0
722,<http://example/Treatment/treatment361>,0
724,<http://example/Treatment/treatment362>,0
726,<http://example/Treatment/treatment363>,0
728,<http://example/Treatment/treatment364>,0
730,<http://example/Treatment/treatment365>,0
732,<http://example/Treatment/treatment366>,0
736,<http://example/Treatment/treatment368>,0
738,<http://example/Treatment/treatment369>,0
740,<http://example/Treatment/treatment370>,0
742,<http://example/Treatment/treatment371>,0
744,<http://example/Treatment/treatment372>,0
746,<http://example/Treatment/treatment373>,0
748,<http://example/Treatment/treatment374>,0
750,<http://example/Treatment/treatment375>,0
752,<http://example/Treatment/treatment376>,0
754,<http://example/Treatment/treatment377>,0
756,<http://example/Treatment/treatment378>,0
758,<http://example/Treatment/treatment379>,0
760,<http://example/Treatment/treatment380>,0
764,<http://example/Treatment/treatment382>,0
766,<http://example/Treatment/treatment383>,0
768,<http://example/Treatment/treatment384>,0
770,<http://example/Treatment/treatment385>,0
772,<http://example/Treatment/treatment386>,0
776,<http://example/Treatment/treatment388>,0
780,<http://example/Treatment/treatment390>,0
782,<http://example/Treatment/treatment391>,0
784,<http://example/Treatment/treatment392>,0
786,<http://example/Treatment/treatment393>,0
788,<http://example/Treatment/treatment394>,0
790,<http://example/Treatment/treatment395>,0
792,<http://example/Treatment/treatment396>,0
794,<http://example/Treatment/treatment397>,0
796,<http://example/Treatment/treatment398>,0
798,<http://example/Treatment/treatment399>,1
800,<http://example/Treatment/treatment400>,1
802,<http://example/Treatment/treatment401>,1
804,<http://example/Treatment/treatment402>,1
806,<http://example/Treatment/treatment403>,1
808,<http://example/Treatment/treatment404>,1
812,<http://example/Treatment/treatment406>,1
816,<http://example/Treatment/treatment408>,1
818,<http://example/Treatment/treatment409>,1
820,<http://example/Treatment/treatment410>,1
822,<http://example/Treatment/treatment411>,1
824,<http://example/Treatment/treatment412>,1
826,<http://example/Treatment/treatment413>,1
828,<http://example/Treatment/treatment414>,1
832,<http://example/Treatment/treatment416>,1
838,<http://example/Treatment/treatment419>,1
840,<http://example/Treatment/treatment420>,1
842,<http://example/Treatment/treatment421>,1
844,<http://example/Treatment/treatment422>,1
848,<http://example/Treatment/treatment424>,1
850,<http://example/Treatment/treatment425>,1
852,<http://example/Treatment/treatment426>,1
854,<http://example/Treatment/treatment427>,1
856,<http://example/Treatment/treatment428>,1
858,<http://example/Treatment/treatment429>,1
860,<http://example/Treatment/treatment430>,1
862,<http://example/Treatment/treatment431>,1
864,<http://example/Treatment/treatment432>,1
866,<http://example/Treatment/treatment433>,1
868,<http://example/Treatment/treatment434>,1
870,<http://example/Treatment/treatment435>,1
874,<http://example/Treatment/treatment437>,1
876,<http://example/Treatment/treatment438>,1
878,<http://example/Treatment/treatment439>,1
880,<http://example/Treatment/treatment440>,1
882,<http://example/Treatment/treatment441>,1
884,<http://example/Treatment/treatment442>,1
888,<http://example/Treatment/treatment444>,1
896,<http://example/Treatment/treatment448>,1
898,<http://example/Treatment/treatment449>,1
900,<http://example/Treatment/treatment450>,1
902,<http://example/Treatment/treatment451>,1
904,<http://example/Treatment/treatment452>,1
908,<http://example/Treatment/treatment454>,1
910,<http://example/Treatment/treatment455>,1
912,<http://example/Treatment/treatment456>,1
914,<http://example/Treatment/treatment457>,1
916,<http://example/Treatment/treatment458>,1
918,<http://example/Treatment/treatment459>,1
920,<http://example/Treatment/treatment460>,1
922,<http://example/Treatment/treatment461>,1
924,<http://example/Treatment/treatment462>,1
928,<http://example/Treatment/treatment464>,1
932,<http://example/Treatment/treatment466>,1
936,<http://example/Treatment/treatment468>,1
938,<http://example/Treatment/treatment469>,1
940,<http://example/Treatment/treatment470>,1
942,<http://example/Treatment/treatment471>,1
944,<http://example/Treatment/treatment472>,1
946,<http://example/Treatment/treatment473>,1
948,<http://example/Treatment/treatment474>,1
950,<http://example/Treatment/treatment475>,1
952,<http://example/Treatment/treatment476>,1
956,<http://example/Treatment/treatment478>,1
960,<http://example/Treatment/treatment480>,1
966,<http://example/Treatment/treatment483>,1
968,<http://example/Treatment/treatment484>,1
970,<http://example/Treatment/treatment485>,1
972,<http://example/Treatment/treatment486>,1
974,<http://example/Treatment/treatment487>,1
976,<http://example/Treatment/treatment488>,1
978,<http://example/Treatment/treatment489>,1
982,<http://example/Treatment/treatment491>,1
984,<http://example/Treatment/treatment492>,1
986,<http://example/Treatment/treatment493>,1
988,<http://example/Treatment/treatment494>,1
990,<http://example/Treatment/treatment495>,1
992,<http://example/Treatment/treatment496>,1
994,<http://example/Treatment/treatment497>,1
998,<http://example/Treatment/treatment499>,1
1000,<http://example/Treatment/treatment500>,1
1002,<http://example/Treatment/treatment501>,1
1004,<http://example/Treatment/treatment502>,1
1006,<http://example/Treatment/treatment503>,1
1008,<http://example/Treatment/treatment504>,1
1010,<http://example/Treatment/treatment505>,1
1012,<http://example/Treatment/treatment506>,1
1014,<http://example/Treatment/treatment507>,1
1016,<http://example/Treatment/treatment508>,1
1018,<http://example/Treatment/treatment509>,1
1022,<http://example/Treatment/treatment511>,1
1024,<http://example/Treatment/treatment512>,1
1026,<http://example/Treatment/treatment513>,1
1036,<http://example/Treatment/treatment518>,1
1038,<http://example/Treatment/treatment519>,1
1040,<http://example/Treatment/treatment520>,1
1042,<http://example/Treatment/treatment521>,1
1044,<http://example/Treatment/treatment522>,1
1046,<http://example/Treatment/treatment523>,1
1048,<http://example/Treatment/treatment524>,1
1050,<http://example/Treatment/treatment525>,1
1052,<http://example/Treatment/treatment526>,1
1054,<http://example/Treatment/treatment527>,1
1056,<http://example/Treatment/treatment528>,1
1058,<http://example/Treatment/treatment529>,1
1060,<http://example/Treatment/treatment530>,1
1062,<http://example/Treatment/treatment531>,1
1064,<http://example/Treatment/treatment532>,1
1068,<http://example/Treatment/treatment534>,1
1072,<http://example/Treatment/treatment536>,1
1074,<http://example/Treatment/treatment537>,1
1076,<http://example/Treatment/treatment538>,1
1080,<http://example/Treatment/treatment540>,1
1082,<http://example/Treatment/treatment541>,1
1084,<http://example/Treatment/treatment542>,1
1086,<http://example/Treatment/treatment543>,1
1088,<http://example/Treatment/treatment544>,1
1090,<http://example/Treatment/treatment545>,1
1092,<http://example/Treatment/treatment546>,1
